chapter_id	chapter_title	authority_tier	manual_treatment	relative_path	expected_sha256	actual_sha256	hash_status	source_mode	extraction_method	extraction_status	character_count	word_count	output_path	note
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/04_Repository_Control/Legacy_Audits_and_Snapshots/CURRENT_FOLDER_STRUCTURE.txt	ba3153f5011ecff39f4eadce191d7941cc29801a3b6eb4761a4e87e9a65fc8b1	ba3153f5011ecff39f4eadce191d7941cc29801a3b6eb4761a4e87e9a65fc8b1	HASH_VERIFIED	REUSED_STAGE10B_EXTRACTION	PLAIN_TEXT	EXTRACTED	7108	782	08_MASTER_MANUAL/05_Source_Extraction/01_Tier1_Tier2_Core/01/ba3153f5011e__CURRENT_FOLDER_STRUCTURE.md	Reused hash-verified Stage 10B extract.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/04_Repository_Control/Legacy_REORGANIZATION_LOG.md	fd53bcb50747e4703f60d64c0e3123cd7d1c467c36e1c2917e9da1d1f4198799	fd53bcb50747e4703f60d64c0e3123cd7d1c467c36e1c2917e9da1d1f4198799	HASH_VERIFIED	REUSED_STAGE10B_EXTRACTION	PLAIN_TEXT	EXTRACTED	2476	281	08_MASTER_MANUAL/05_Source_Extraction/01_Tier1_Tier2_Core/01/fd53bcb50747__Legacy_REORGANIZATION_LOG.md	Reused hash-verified Stage 10B extract.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/04_Repository_Control/Legacy_Repository_Audit/01_CURRENT_STRUCTURE_ANALYSIS.md	364f2fb74e1ed35bc1024c0185d504618a32e858c621e0937add45d80f03d27b	364f2fb74e1ed35bc1024c0185d504618a32e858c621e0937add45d80f03d27b	HASH_VERIFIED	REUSED_STAGE10B_EXTRACTION	PLAIN_TEXT	EXTRACTED	4769	648	08_MASTER_MANUAL/05_Source_Extraction/01_Tier1_Tier2_Core/01/364f2fb74e1e__01_CURRENT_STRUCTURE_ANALYSIS.md	Reused hash-verified Stage 10B extract.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/04_Repository_Control/Legacy_Repository_Audit/02_FILE_MANIFEST.csv	959fd614ded4de4b178ddf31b03191d1192e34d32ba5575cb678e055df926521	959fd614ded4de4b178ddf31b03191d1192e34d32ba5575cb678e055df926521	HASH_VERIFIED	REUSED_STAGE10B_EXTRACTION	PLAIN_TEXT	EXTRACTED	45414	2580	08_MASTER_MANUAL/05_Source_Extraction/01_Tier1_Tier2_Core/01/959fd614ded4__02_FILE_MANIFEST.md	Reused hash-verified Stage 10B extract.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/04_Repository_Control/Legacy_Repository_Audit/02_FILE_MANIFEST.pdf	904d6fb0000cede691fe9b28a897db5e44413e95a2ff5ce6ffcc62bee88fd1af	904d6fb0000cede691fe9b28a897db5e44413e95a2ff5ce6ffcc62bee88fd1af	HASH_VERIFIED	REUSED_STAGE10B_EXTRACTION	PDFTOTEXT_LAYOUT	EXTRACTED	54739	3999	08_MASTER_MANUAL/05_Source_Extraction/01_Tier1_Tier2_Core/01/904d6fb0000c__02_FILE_MANIFEST.md	Reused hash-verified Stage 10B extract.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/04_Repository_Control/Legacy_Repository_Audit/03_DUPLICATE_REPORT.md	e73b55d4f36f630dfc45d61147e0d683a364af1f0e28a95f54c5da972cc24925	e73b55d4f36f630dfc45d61147e0d683a364af1f0e28a95f54c5da972cc24925	HASH_VERIFIED	REUSED_STAGE10B_EXTRACTION	PLAIN_TEXT	EXTRACTED	14724	1398	08_MASTER_MANUAL/05_Source_Extraction/01_Tier1_Tier2_Core/01/e73b55d4f36f__03_DUPLICATE_REPORT.md	Reused hash-verified Stage 10B extract.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/04_Repository_Control/Legacy_Repository_Audit/04_AUTHORITY_AMBIGUITIES.md	2af657ba4e6666650bc2c4c44a13c6ba5b87feb292efa1d4a7349c06835b4fc3	2af657ba4e6666650bc2c4c44a13c6ba5b87feb292efa1d4a7349c06835b4fc3	HASH_VERIFIED	REUSED_STAGE10B_EXTRACTION	PLAIN_TEXT	EXTRACTED	4157	512	08_MASTER_MANUAL/05_Source_Extraction/01_Tier1_Tier2_Core/01/2af657ba4e66__04_AUTHORITY_AMBIGUITIES.md	Reused hash-verified Stage 10B extract.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/04_Repository_Control/Legacy_Repository_Audit/05_NAMING_AND_PLACEMENT_ISSUES.md	3cb55e747e4d7b47b7af61a78c627db0ee3cd274618ee32af01ba4e37303176e	3cb55e747e4d7b47b7af61a78c627db0ee3cd274618ee32af01ba4e37303176e	HASH_VERIFIED	REUSED_STAGE10B_EXTRACTION	PLAIN_TEXT	EXTRACTED	4291	538	08_MASTER_MANUAL/05_Source_Extraction/01_Tier1_Tier2_Core/01/3cb55e747e4d__05_NAMING_AND_PLACEMENT_ISSUES.md	Reused hash-verified Stage 10B extract.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/04_Repository_Control/Legacy_Repository_Audit/06_SECURITY_AND_UNKNOWN_FILES.md	e341c54c577ba5bc7f04b97d7c3d11d59dace003914cbd9df3f8995d15977afe	e341c54c577ba5bc7f04b97d7c3d11d59dace003914cbd9df3f8995d15977afe	HASH_VERIFIED	REUSED_STAGE10B_EXTRACTION	PLAIN_TEXT	EXTRACTED	3649	493	08_MASTER_MANUAL/05_Source_Extraction/01_Tier1_Tier2_Core/01/e341c54c577b__06_SECURITY_AND_UNKNOWN_FILES.md	Reused hash-verified Stage 10B extract.
01	Project Mandate, Requirements and Governance	TIER_1	CORE_NARRATIVE	01_GOVERNANCE_AND_CONTROL/04_Repository_Control/Legacy_Repository_Audit/07_MINIMAL_CLEANUP_PROPOSAL.md	a4ced05912df7c4a17f117039e8ae12b73601bf12bda2a2a28b0640f5beaafab	a4ced05912df7c4a17f117039e8ae12b73601bf12bda2a2a28b0640f5beaafab	HASH_VERIFIED	REUSED_STAGE10B_EXTRACTION	PLAIN_TEXT	EXTRACTED	6166	792	08_MASTER_MANUAL/05_Source_Extraction/01_Tier1_Tier2_Core/01/a4ced05912df__07_MINIMAL_CLEANUP_PROPOSAL.md	Reused hash-verified Stage 10B extract.
